*Action(SiteID=AU|Country=AU|Currency=AUD|Version=1193|CC=UTF-8),Relationship,Relationship details,ItemID,*Category,*Title,Subtitle,CustomLabel,*ConditionID,CD:Card Condition - (ID: 40001),C:Card Condition,*C:Game,*C:Sport,PicURL,*Description,*Format,*Duration,ScheduleTime,*StartPrice,BuyItNowPrice,*Quantity,*DispatchTimeMax,ShippingProfileName,*C:Set,*C:Rarity,*C:Speciality,*C:Finish,*C:Card Type,*C:Card Name,*C:Illustrator,*C:Manufacturer,*C:Graded,*C:Attribute/MTG:Colour,*C:Card Size,*C:Character,*C:Language,*C:Stage,*C:Country/Region of Manufacture,*C:Country of Origin,*C:Age Level,*C:Card Number,*C:Year Manufactured,*C:Autographed,C:Player/Athlete,C:Signed By,C:Season,C:Parallel/Variety,C:Features,C:League,C:Team,C:Autograph Authentication,C:Autograph Authentication Number,C:Autograph Format,*C:Material,PostalCode,WeightMajor,WeightMinor,PackageLength,PackageWidth,PackageDepth,WeightUnit,BestOfferEnabled,MinimumBestOfferPrice,BestOfferAutoAcceptPrice,StoreCategory,Storecategory2,PaymentProfileName,ReturnProfileName,Location
Add,,Card=001 - Tropius;001 - Tropius (Reverse Holo);002 - Grubbin;002 - Grubbin (Reverse Holo);003 - Fomantis;003 - Fomantis (Reverse Holo);004 - Lurantis ex (Holo);005 - Poltchageist;005 - Poltchageist (Reverse Holo);006 - Sinistcha;006 - Sinistcha (Reverse Holo);007 - Heatran;007 - Heatran (Reverse Holo);008 - Mega Delphox ex (Holo);009 - Sizzlipede;009 - Sizzlipede (Reverse Holo);010 - Centiskorch;010 - Centiskorch (Reverse Holo);011 - Charcadet;011 - Charcadet (Reverse Holo);012 - Armarouge;012 - Armarouge (Reverse Holo);013 - Goldeen;013 - Goldeen (Reverse Holo);014 - Seaking;014 - Seaking (Reverse Holo);015 - Wailmer;015 - Wailmer (Reverse Holo);016 - Wailord ex (Holo);017 - Relicanth;017 - Relicanth (Reverse Holo);018 - Popplio;018 - Popplio (Reverse Holo);019 - Brionne;019 - Brionne (Reverse Holo);020 - Primarina;020 - Primarina (Reverse Holo);021 - Finizen;021 - Finizen (Reverse Holo);022 - Palafin;022 - Palafin (Reverse Holo);023 - Electrike;023 - Electrike (Reverse Holo);024 - Manectric;024 - Manectric (Reverse Holo);025 - Charjabug;025 - Charjabug (Reverse Holo);026 - Vikavolt;026 - Vikavolt (Reverse Holo);027 - Mega Zeraora ex (Holo);028 - Miraidon;028 - Miraidon (Reverse Holo);029 - Slowpoke;029 - Slowpoke (Reverse Holo);030 - Slowbro;030 - Slowbro (Reverse Holo);031 - Mega Slowbro ex (Holo);032 - Jynx;032 - Jynx (Reverse Holo);033 - Shuppet;033 - Shuppet (Reverse Holo);034 - Banette;034 - Banette (Reverse Holo);035 - Spiritomb;035 - Spiritomb (Reverse Holo);036 - Litwick;036 - Litwick (Reverse Holo);037 - Lampent;037 - Lampent (Reverse Holo);038 - Mega Chandelure ex (Holo);039 - Dhelmise;039 - Dhelmise (Reverse Holo);040 - Marshadow;040 - Marshadow (Reverse Holo);041 - Annihilape;041 - Annihilape (Reverse Holo);042 - Mankey;042 - Mankey (Reverse Holo);043 - Primeape;043 - Primeape (Reverse Holo);044 - Cranidos;044 - Cranidos (Reverse Holo);045 - Rampardos ex (Holo);046 - Drilbur;046 - Drilbur (Reverse Holo);047 - Koraidon;047 - Koraidon (Reverse Holo);048 - Mega Darkrai ex (Holo);049 - Vullaby;049 - Vullaby (Reverse Holo);050 - Mandibuzz;050 - Mandibuzz (Reverse Holo);051 - Inkay;051 - Inkay (Reverse Holo);052 - Malamar;052 - Malamar (Reverse Holo);053 - Nickit;053 - Nickit (Reverse Holo);054 - Thievul;054 - Thievul (Reverse Holo);055 - Morpeko ex (Holo);056 - Zarude;056 - Zarude (Reverse Holo);057 - Maschiff;057 - Maschiff (Reverse Holo);058 - Mabosstiff;058 - Mabosstiff (Reverse Holo);059 - Chi-Yu;059 - Chi-Yu (Reverse Holo);060 - Skarmory;060 - Skarmory (Reverse Holo);061 - Shieldon;061 - Shieldon (Reverse Holo);062 - Bastiodon;062 - Bastiodon (Reverse Holo);063 - Bronzor;063 - Bronzor (Reverse Holo);064 - Bronzong;064 - Bronzong (Reverse Holo);065 - Mega Excadrill ex (Holo);066 - Pikipek;066 - Pikipek (Reverse Holo);067 - Trumbeak;067 - Trumbeak (Reverse Holo);068 - Toucannon;068 - Toucannon (Reverse Holo);069 - Type: Null;069 - Type: Null (Reverse Holo);070 - Silvally;070 - Silvally (Reverse Holo);071 - Bombirdier;071 - Bombirdier (Reverse Holo);072 - Antique Armor Fossil;072 - Antique Armor Fossil (Reverse Holo);073 - Antique Skull Fossil;073 - Antique Skull Fossil (Reverse Holo);074 - Backtrack Badge;074 - Backtrack Badge (Reverse Holo);075 - Dark Bell;075 - Dark Bell (Reverse Holo);076 - Fossil Quarry;076 - Fossil Quarry (Reverse Holo);077 - Gladion's Final Battle;077 - Gladion's Final Battle (Reverse Holo);078 - Gwynn;078 - Gwynn (Reverse Holo);079 - Jett;079 - Jett (Reverse Holo);080 - Misty's Vitality;080 - Misty's Vitality (Reverse Holo);081 - Rust Syndicate Grunt;081 - Rust Syndicate Grunt (Reverse Holo);082 - Tremendous Bomb;082 - Tremendous Bomb (Reverse Holo);083 - Shadowy Darkness Energy;083 - Shadowy Darkness Energy (Reverse Holo);084 - Voltaic Lightning Energy;084 - Voltaic Lightning Energy (Reverse Holo);085 - Fomantis (Holo);086 - Armarouge (Holo);087 - Goldeen (Holo);088 - Primarina (Holo);089 - Manectric (Holo);090 - Slowbro (Holo);091 - Dhelmise (Holo);092 - Thievul (Holo);093 - Bastiodon (Holo);094 - Toucannon (Holo);095 - Silvally (Holo);096 - Lurantis ex (Holo);097 - Wailord ex (Holo);098 - Mega Zeraora ex (Holo);099 - Mega Chandelure ex (Holo);100 - Rampardos ex (Holo);101 - Mega Darkrai ex (Holo);102 - Morpeko ex (Holo);103 - Mega Excadrill ex (Holo);104 - Brave Bangle (Holo);105 - Crushing Hammer (Holo);106 - Dark Bell (Holo);107 - Energy Switch (Holo);108 - Gladion's Final Battle (Holo);109 - Gwynn (Holo);110 - Iron Defender (Holo);111 - Misty's Vitality (Holo);112 - Rust Syndicate Grunt (Holo);113 - Tremendous Bomb (Holo);114 - Mega Zeraora ex (Holo);115 - Mega Chandelure ex (Holo);116 - Mega Darkrai ex (Holo);117 - Morpeko ex (Holo);118 - Gladion's Final Battle (Holo);119 - Gwynn (Holo);120 - Mega Darkrai ex;120 - Mega Darkrai ex (Reverse Holo),,183454,"Pokemon TCG Pitch Black Bulk Singles - C, RH, HR",,me5,4000,Near Mint or Better: -(ID: 400010),Near Mint or Better:,Pokémon TCG,,https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/refs/heads/main/pitch-black-cover.png,{Perfect Order}Thanks for viewing my listing!,FixedPrice,GTC,,,,,,FREE POSTAGE,Pitch Black,,,,Pokemon,,,The Pokémon Company,No,,Standard,,English,,Australia,Australia,6+,,,,,,,,,,,,,,Card Stock,2830,0,1,,,,kg,,,,,,BUY IT NOW,30 DAY RETURN BP,AUS
Add,Variation,Card=001 - Tropius;,,,,,ME5-001-N,,,,,,001 - Tropius=https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/main/cards/ME5/ME5-001.png,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Variation,Card=001 - Tropius (Reverse Holo);,,,,,ME5-001-RH,,,,,,001 - Tropius (Reverse Holo)=https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/main/cards/ME5/ME5-001-RH.png,,,,,1.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Variation,Card=002 - Grubbin;,,,,,ME5-002-N,,,,,,002 - Grubbin=https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/main/cards/ME5/ME5-002.png,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Variation,Card=002 - Grubbin (Reverse Holo);,,,,,ME5-002-RH,,,,,,002 - Grubbin (Reverse Holo)=https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/main/cards/ME5/ME5-002-RH.png,,,,,1.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Variation,Card=003 - Fomantis;,,,,,ME5-003-N,,,,,,003 - Fomantis=https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/main/cards/ME5/ME5-003.png,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Variation,Card=003 - Fomantis (Reverse Holo);,,,,,ME5-003-RH,,,,,,003 - Fomantis (Reverse Holo)=https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/main/cards/ME5/ME5-003-RH.png,,,,,1.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Variation,Card=004 - Lurantis ex (Holo);,,,,,ME5-004-H,,,,,,004 - Lurantis ex (Holo)=https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/main/cards/ME5/ME5-004-H.png,,,,,5.99,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Variation,Card=005 - Poltchageist;,,,,,ME5-005-N,,,,,,005 - Poltchageist=https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/main/cards/ME5/ME5-005.png,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Variation,Card=005 - Poltchageist (Reverse Holo);,,,,,ME5-005-RH,,,,,,005 - Poltchageist (Reverse Holo)=https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/main/cards/ME5/ME5-005-RH.png,,,,,1.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Variation,Card=006 - Sinistcha;,,,,,ME5-006-N,,,,,,006 - Sinistcha=https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/main/cards/ME5/ME5-006.png,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Variation,Card=006 - Sinistcha (Reverse Holo);,,,,,ME5-006-RH,,,,,,006 - Sinistcha (Reverse Holo)=https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/main/cards/ME5/ME5-006-RH.png,,,,,1.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Variation,Card=007 - Heatran;,,,,,ME5-007-N,,,,,,007 - Heatran=https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/main/cards/ME5/ME5-007.png,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Variation,Card=007 - Heatran (Reverse Holo);,,,,,ME5-007-RH,,,,,,007 - Heatran (Reverse Holo)=https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/main/cards/ME5/ME5-007-RH.png,,,,,1.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Variation,Card=008 - Mega Delphox ex (Holo);,,,,,ME5-008-H,,,,,,008 - Mega Delphox ex (Holo)=https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/main/cards/ME5/ME5-008-H.png,,,,,5.99,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Variation,Card=009 - Sizzlipede;,,,,,ME5-009-N,,,,,,009 - Sizzlipede=https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/main/cards/ME5/ME5-009.png,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Variation,Card=009 - Sizzlipede (Reverse Holo);,,,,,ME5-009-RH,,,,,,009 - Sizzlipede (Reverse Holo)=https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/main/cards/ME5/ME5-009-RH.png,,,,,1.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Variation,Card=010 - Centiskorch;,,,,,ME5-010-N,,,,,,010 - Centiskorch=https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/main/cards/ME5/ME5-010.png,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Variation,Card=010 - Centiskorch (Reverse Holo);,,,,,ME5-010-RH,,,,,,010 - Centiskorch (Reverse Holo)=https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/main/cards/ME5/ME5-010-RH.png,,,,,1.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Variation,Card=011 - Charcadet;,,,,,ME5-011-N,,,,,,011 - Charcadet=https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/main/cards/ME5/ME5-011.png,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Variation,Card=011 - Charcadet (Reverse Holo);,,,,,ME5-011-RH,,,,,,011 - Charcadet (Reverse Holo)=https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/main/cards/ME5/ME5-011-RH.png,,,,,1.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Variation,Card=012 - Armarouge;,,,,,ME5-012-N,,,,,,012 - Armarouge=https://raw.githubusercontent.com/OPER8TOR-SHADOW/ops-ebay-images/main/cards/ME5/ME5-012.png,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
